,country,donated,received,Latitude,Longitude,donatedBillions,receivedBillions
0,Australia,2446616312,2572618261,-35.26666667,149.133333,2.446616312,2.572618261
1,Austria,784068952,770267419,48.2,16.366667,0.784068952,0.770267419
2,Belgium,2144445270,184346233,50.83333333,4.333333,2.14444527,0.184346233
3,Brazil,1134440,36607258078,-15.78333333,-47.916667,0.00113444,36.60725808
4,Canada,7466338200,4068652966,45.41666667,-75.7,7.4663382,4.068652966
5,Chile,564349,7334129130,-33.45,-70.666667,0.000564349,7.33412913
6,Colombia,190795,25530536307,4.6,-74.083333,0.000190795,25.53053631
7,Cyprus,5599,968154947,35.16666667,33.366667,0.000005599,0.968154947
8,Czech Republic,8930435,2141913341,50.08333333,14.466667,0.008930435,2.141913341
9,Denmark,2952416405,166310586,55.66666667,12.583333,2.952416405,0.166310586
10,Estonia,278942,251349503,59.43333333,24.716667,0.000278942,0.251349503
11,Finland,665953415,180695493,60.16666667,24.933333,0.665953415,0.180695493
12,France,15456459635,237540854,48.86666667,2.333333,15.45645964,0.237540854
13,Germany,47218438821,60164,52.51666667,13.4,47.21843882,0.000060164
14,Greece,32667185,519377906,37.98333333,23.733333,0.032667185,0.519377906
15,Hungary,324552,2925327491,47.5,19.083333,0.000324552,2.925327491
16,Iceland,172501,18060045,64.15,-21.95,0.000172501,0.018060045
17,India,0,1.3398E+11,28.6,77.2,0,133.98047
18,Ireland,295144458,934638729,53.31666667,-6.233333,0.295144458,0.934638729
19,Italy,3835655974,2400826417,41.9,12.483333,3.835655974,2.400826417
20,Japan,1.14182E+11,2081102258,35.68333333,139.75,114.1822542,2.081102258
21,Korea,1299047720,25294323453,39.01666667,125.75,1.29904772,25.29432345
22,Kuwait,1369078319,7771540076,29.36666667,47.966667,1.369078319,7.771540076
23,Latvia,0,423495040,56.95,24.1,0,0.42349504
24,Liechtenstein,4370700,18393083,47.13333333,9.516667,0.0043707,0.018393083
25,Lithuania,0,516423270,54.68333333,25.316667,0,0.51642327
26,Luxembourg,111554022,555039832,49.6,6.116667,0.111554022,0.555039832
27,Monaco,941387,0,43.73333333,7.416667,0.000941387,0
28,Netherlands,8939647189,0,52.35,4.916667,8.939647189,0
29,New Zealand,56749885,225588310,-41.3,174.783333,0.056749885,0.22558831
30,Norway,4416814418,368001981,59.91666667,10.75,4.416814418,0.368001981
31,Poland,403184,24517225188,52.25,21,0.000403184,24.51722519
32,Portugal,68900866,175242606,38.71666667,-9.133333,0.068900866,0.175242606
33,Qatar,104519053,733783749,25.28333333,51.533333,0.104519053,0.733783749
34,Romania,0,3332059861,44.43333333,26.1,0,3.332059861
35,Saudi Arabia,1698410689,4877749103,24.65,46.7,1.698410689,4.877749103
36,Slovak Republic,395574,821195623,48.15,17.116667,0.000395574,0.821195623
37,Slovenia,150028,225435200,46.05,14.516667,0.000150028,0.2254352
38,South Africa,0,18655555070,-25.7,28.216667,0,18.65555507
39,Spain,2014695904,561711808,40.4,-3.683333,2.014695904,0.561711808
40,Sweden,6364045876,59757155,59.33333333,18.05,6.364045876,0.059757155
41,Switzerland,2844087953,326783,46.91666667,7.466667,2.844087953,0.000326783
42,Taiwan,89017498,3399554410,25.03333333,121.516667,0.089017498,3.39955441
43,Thailand,25461,49041317440,13.75,100.516667,0.000025461,49.04131744
44,United Arab Emirates,67636986,300206472,24.46666667,54.366667,0.067636986,0.300206472
45,United Kingdom,23690539376,957343964,51.5,-0.083333,23.69053938,0.957343964
46,United States,1.16176E+11,104524992,38.883333,-77,116.1763381,0.104524992
